DCid	species	factor	factor_type	GSM	GSE	cellLine	CellType	Tissue	res_path	res_size	narrowPeak	peakXls	bigwig	summit	RP	X5foldPeakRP	json	bam	TreatOrControlReplicates	ReadLength	FastQC	RawReadsNumber	UniquelyMappedReadsNumber	UniquelyMappedRatio	PBC	FRiP	PeaksNumber	PeaksFoldChange..10	PeaksFoldChange..20	FragmentSize	ChIPReplicatesPairwiseLabels	ReplicatesOverlapRatio	ReplicatesWigCorrelation	MergedPeaksNumber	MergedPeaksFoldChange..10	MergedPeaksFoldChange..20	MergedPeaksPromoterPercentage	MergedPeaksExonPercentage	MergedPeaksIntronPercentage	MergedPeaksIntergenicPercentage	MergedPeaksUnionDHSRatio
40718	Homo_sapiens	DNase	ca	GSM878639	GSE51336	None	None	Fetal_Muscle_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718	256M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/40718_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/40718_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/40718_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/40718_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/attic/40718_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/attic/40718_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40718/attic/json	NA	40718_treat_rep1	36	37	47710208	34750649	0.7284	0.972	0.414662	160080	46953	3741	60	NA	NA	NA	160080	46953	3741	0.079091171	0.045247652	0.409742282	0.465918896	0.9776
40719	Homo_sapiens	DNase	ca	GSM878658	GSE51336	None	None	Fetal_Adrenal_Gland	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719	313M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/40719_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/40719_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/40719_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/40719_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/attic/40719_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/attic/40719_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40719/attic/json	NA	40719_treat_rep1	36	37	51564554	39597530	0.7679	0.983	0.2781535	141845	35387	1113	60	NA	NA	NA	141845	35387	1113	0.086483548	0.053996626	0.433384866	0.42613496	0.9696
40720	Homo_sapiens	DNase	ca	GSM878622	GSE18927	None	None	Fetal_Muscle_Leg	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720	385M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/40720_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/40720_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/40720_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/40720_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/attic/40720_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/attic/40720_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40720/attic/json	NA	40720_treat_rep1	36	36	71810701	47295599	0.6586	0.991	0.2464225	130681	13228	98	54	NA	NA	NA	130681	13228	98	0.097461587	0.051825298	0.39825666	0.452456455	0.9716
40721	Homo_sapiens	DNase	ca	GSM878619	GSE18927	None	None	Fetal_Muscle_Arm	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721	230M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/40721_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/40721_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/40721_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/40721_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/attic/40721_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/attic/40721_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40721/attic/json	NA	40721_treat_rep1	36	38	33016508	26096462	0.7904	0.992	0.16217125	76192	7824	24	53	NA	NA	NA	76192	7824	24	0.140228193	0.068996793	0.365792103	0.424982912	0.9692
40722	Homo_sapiens	DNase	ca	GSM878642	GSE18927	None	None	Fetal_Skin_Biceps_Right	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722	173M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/40722_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/40722_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/40722_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/40722_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/attic/40722_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/attic/40722_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40722/attic/json	NA	40722_treat_rep1	36	30	49997441	26773624	0.5355	0.955	0.59490475	149656	68223	14826	63	NA	NA	NA	149656	68223	14826	0.079389599	0.042777566	0.418988772	0.458844063	0.9814
40723	Homo_sapiens	DNase	ca	GSM878647	GSE18927	None	None	Fetal_Skin_Quadriceps_Right	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723	336M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/40723_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/40723_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/40723_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/40723_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/attic/40723_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/attic/40723_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40723/attic/json	NA	40723_treat_rep1	36	36	73285623	53655816	0.7321	0.962	0.48592175	164085	65262	8439	64	NA	NA	NA	164085	65262	8439	0.075393654	0.041711152	0.424847328	0.458047867	0.9782
40724	Homo_sapiens	DNase	ca	GSM878613	GSE18927	H9	Embryonic_Stem_Cell	Embryo	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724	249M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/40724_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/40724_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/40724_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/40724_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/attic/40724_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/attic/40724_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40724/attic/json	NA	40724_treat_rep1	36	38	38093840	29723564	0.7803	0.988	0.1247785	66037	9631	21	78	NA	NA	NA	66037	9631	21	0.16455677	0.07944748	0.336672738	0.419323012	0.9678
40725	Homo_sapiens	DNase	ca	GSM878653	GSE51336	None	None	Fetal_Muscle_Leg	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725	200M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/40725_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/40725_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/40725_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/40725_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/attic/40725_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/attic/40725_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40725/attic/json	NA	40725_treat_rep1	36	30	41156608	25450083	0.6184	0.968	0.44712325	142984	42265	3626	57	NA	NA	NA	142984	42265	3626	0.091464524	0.052657363	0.398492505	0.457385608	0.9766
40726	Homo_sapiens	DNase	ca	GSM878637	GSE18927	None	None	Fetal_Muscle_Leg	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726	259M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/40726_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/40726_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/40726_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/40726_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/attic/40726_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/attic/40726_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40726/attic/json	NA	40726_treat_rep1	36	35	45260185	31479022	0.6955	0.979	0.35099425	152364	33346	1738	59	NA	NA	NA	152364	33346	1738	0.086449918	0.048821018	0.400334975	0.464394089	0.9736
40727	Homo_sapiens	DNase	ca	GSM878651	GSE51336	None	None	Fetal_Brain	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727	278M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/40727_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/40727_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/40727_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/40727_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/attic/40727_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/attic/40727_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40727/attic/json	NA	40727_treat_rep1	36	29	68364567	39843938	0.5828	0.97	0.492071	158405	61721	8444	57	NA	NA	NA	158405	61721	8444	0.078498768	0.047191508	0.396297466	0.478012258	0.9602
40728	Homo_sapiens	DNase	ca	GSM878627	GSE18927	None	None	Fetal_Thymus	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728	200M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/40728_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/40728_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/40728_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/40728_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/attic/40728_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/attic/40728_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40728/attic/json	NA	40728_treat_rep1	36	37	34386495	22618948	0.6578	0.988	0.213411	86863	16816	298	54	NA	NA	NA	86863	16816	298	0.129262444	0.0648906	0.373988426	0.43185853	0.9726
40729	Homo_sapiens	DNase	ca	GSM878655	GSE18927	None	None	Fetal_Muscle_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729	279M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/40729_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/40729_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/40729_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/40729_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/attic/40729_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/attic/40729_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40729/attic/json	NA	40729_treat_rep1	36	37	53012203	35261217	0.6652	0.979	0.34848825	129020	30358	1177	53	NA	NA	NA	129020	30358	1177	0.098705853	0.057375396	0.399377754	0.444540997	0.9748
40730	Homo_sapiens	DNase	ca	GSM878657	GSE51336	None	None	Fetal_Thymus	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730	247M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/40730_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/40730_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/40730_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/40730_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/attic/40730_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/attic/40730_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40730/attic/json	NA	40730_treat_rep1	36	37	47362269	31475738	0.6646	0.977	0.28925575	68124	20895	1062	56	NA	NA	NA	68124	20895	1062	0.155500633	0.081781269	0.391973402	0.370744697	0.971
40731	Homo_sapiens	DNase	ca	GSM878633	GSE18927	None	Fibroblast	Fetal_Skin_Scalp	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731	186M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/40731_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/40731_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/40731_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/40731_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/attic/40731_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/attic/40731_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40731/attic/json	NA	40731_treat_rep1	36	38	43036088	30352473	0.7053	0.948	0.55835475	137589	65360	12640	62	NA	NA	NA	137589	65360	12640	0.085451993	0.045290211	0.41799242	0.451265376	0.9786
40732	Homo_sapiens	DNase	ca	GSM878649	GSE18927	None	None	Fetal_Skin_Quadriceps_Left	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732	185M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/40732_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/40732_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/40732_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/40732_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/attic/40732_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/attic/40732_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40732/attic/json	NA	40732_treat_rep1	36	36	38797312	28381135	0.7315	0.956	0.52444575	137233	62074	9590	66	NA	NA	NA	137233	62074	9590	0.080607639	0.041007577	0.417514458	0.460870326	0.98
40733	Homo_sapiens	DNase	ca	GSM878611	GSE18927	None	None	Fetal_Muscle_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733	260M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/40733_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/40733_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/40733_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/40733_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/attic/40733_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/attic/40733_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40733/attic/json	NA	40733_treat_rep1	36	37	37079009	31615868	0.8527	0.985	0.28766175	117151	20498	345	65	NA	NA	NA	117151	20498	345	0.102753423	0.055512827	0.392742997	0.448990754	0.9722
40734	Homo_sapiens	DNase	ca	GSM878662	GSE51336	None	Epithelium	Fetal_Renal_Pelvis	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734	292M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/40734_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/40734_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/40734_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/40734_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/attic/40734_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/attic/40734_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40734/attic/json	NA	40734_treat_rep1	36	36	49545216	35521391	0.7169	0.982	0.33441625	151237	32808	1108	57	NA	NA	NA	151237	32808	1108	0.09293198	0.054696239	0.403682598	0.448689183	0.9758
40735	Homo_sapiens	DNase	ca	GSM878640	GSE18927	None	None	Fetal_Skin_Upper_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735	216M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/40735_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/40735_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/40735_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/40735_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/attic/40735_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/attic/40735_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40735/attic/json	NA	40735_treat_rep1	36	37	45298080	31954040	0.7054	0.961	0.48620325	147581	62512	9668	65	NA	NA	NA	147581	62512	9668	0.077207927	0.041289692	0.415263893	0.466238487	0.9804
40736	Homo_sapiens	DNase	ca	GSM878661	GSE51336	None	None	Fetal_Spinal_Cord	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736	332M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/40736_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/40736_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/40736_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/40736_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/attic/40736_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/attic/40736_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40736/attic/json	NA	40736_treat_rep1	36	37	55836672	41713360	0.7471	0.982	0.316868	143039	28806	1099	56	NA	NA	NA	143039	28806	1099	0.088218415	0.053392962	0.398533076	0.459855547	0.9742
40737	Homo_sapiens	DNase	ca	GSM878646	GSE18927	None	None	Fetal_Skin_Quadriceps_Right	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737	226M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/40737_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/40737_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/40737_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/40737_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/attic/40737_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/attic/40737_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40737/attic/json	NA	40737_treat_rep1	36	35	48276953	34976336	0.7245	0.96	0.49382575	141523	58619	9145	68	NA	NA	NA	141523	58619	9145	0.080250362	0.041903886	0.420814032	0.45703172	0.98
40738	Homo_sapiens	DNase	ca	GSM878631	GSE51336	None	None	Fetal_Muscle_Leg	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738	292M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/40738_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/40738_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/40738_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/40738_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/attic/40738_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/attic/40738_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40738/attic/json	NA	40738_treat_rep1	36	37	53417523	37786469	0.7074	0.976	0.386195	147070	35696	1749	52	NA	NA	NA	147070	35696	1749	0.089775782	0.053492566	0.395447586	0.461284067	0.9748
40739	Homo_sapiens	DNase	ca	GSM878629	GSE51336	None	Cortex	Fetal_Kidney	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739	174M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/40739_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/40739_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/40739_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/40739_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/attic/40739_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/attic/40739_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset40739/attic/json	NA	40739_treat_rep1	36	37	30073191	21473924	0.7141	0.973	0.3960745	122754	27321	1706	53	NA	NA	NA	122754	27321	1706	0.106662318	0.067169534	0.386862921	0.439305227	0.974
